project,job_no,address,permit,contractor,phone,manager
#188 Residence,18-0214,"4549 152nd Place SE, Bellevue",17-131032BU,"Seismic Northwest, LP",(831) 566-5535,Jeff
1010 E Republican Apartments,17-0483,"1010 E Republican Street, Seattle",6494343,"Noren Development, LLC",(425) 466-7740,Isaac
1115 34th Avenue Townhomes,17-0404,"1115 34th Avenue, Seattle",6526527,Denizen Development Grou,206-963-4809,Isaac
1214 East Hamlin Street - SIR,18-0204,"1214 E Hamlin St, Seattle",,,(425) 345-5636,Jeff
1222 NE 65th Street,17-0260,"1222 NE 65th Street, Seattle",6538040,"Blueprint Capital Services, L",(425) 530-6061,Jeff
1227 South Weller Street,18-0354,"1227 S Weller Street, Seattle",6538945,"VNM JV, LLC",John Valley,Jeff
12th & John Courtyard Apartments,16-0647,"121 12th Avenue East, Seattle",6471342,Arcon Tenant Improvement,(425) 365-3013,Jeff
1308 Project,18-0409,"1308 3rd Ave West, Seattle",6591683,"Shelter Homes, LLC",(253) 888-9779,Jeff
1411 East Olive - SIR,18-0270,"1411 East Olive Way, Seattle",,,,Jeff
15th Avenue Apartments,18-0364,"5253 15th Avenue NE, Seattle",6495184,Vekst Construction,(509) 429-8514,Isaac
15th Avenue East,17-0221,"1532 15th Avenue East, Seattle",6520935,"Ashworth Homes, LLC",(425) 350-4081,Isaac
15th Avenue NW - South Parcel,18-0029b,"8009 15th Ave NW, Seattle",6494943,Sage Homes N.W.,(425) 919-2247,Jeff
165th Heated Storage,16-0576,"16523 Aurora Avenue North, Shoreline","125,508,125,507","JPR Construction, Inc.",425-350-9857,Walter
1701 Project,16-0091,"1701 37th Avenue, Seattle",6300390,"White's Investments, LLC",,Jeff
1735 NW 62nd Street - North,17-0966b,"1735 NW 62nd Street, Seattle",6538603,"MidCity Builders, LLC",(425) 343-5655,Isaac
1737 NW 62nd Street - All Locations,17-0966,",",,,,Isaac
1737 NW 62nd Street - Middle,17-0966a,"1737 NW 62nd Street, Seattle",6579119,"MidCity Builders, LLC",(425) 343-5655,Isaac
1739 NW 62nd Street - South,17-0966c,"1739 NW 62nd Street, Seattle",6579120,"MidCity Builders, LLC",(425) 343-5655,Isaac
1816 10th Street West,18-0153,"1816 10th St W, Kirkland",,,,Walter
18th Avenue Residence,18-0239,"130 18th Avenue, Kirkland",BSF16-05868,"DC Granger, Inc.",,Isaac
1923 46th Avenue SW Addition,15-0367,"1923 46th Avenue SW, Seattle",6466044,,,Anthony
200 20th Avenue South,18-0056,"200 20th Ave S, Seattle",6494000,"Greenbuild Development, LL",(253) 414-7367,Jeff
2000 Faben Drive Residence,17-0373,"2000 Faben Drive, Mercer Island",,"Toth Construction, Inc.",(206) 730-1422,Walter
2016 NW 64th Street,18-0112,"2016 NW 64th Street, Seattle",6555150,"Roland Development, LLC",(425) 879-5023,Jeff
2017 Local Street Reconst/Water System - C,17-0638,"Various, Auburn",,,(253) 259-6415,Walter
2017 Material Asphalt and Concrete,18-0470,"6th Avenue from Marion Street to James Street,",,,(425) 269-6615,Isaac
2017 Water System Improvements - Gray &,17-0643,"*see comments (Highline Water District),",,Kar-Vel Construction,,Jeff
2020 15th Avenue South,17-0948,"2020 15th Ave S, Seattle",6575793,"TC Consulting, Inc.",(206) 498-3917,Walter
2037 Yale Avenue East,17-0535,"2037 Yale Ave E, Seattle",6500935,"Blueprint Capital Services, L",206-300-9084,Jeff
20th Avenue NE Apartments,17-0768,"4536 20th Avenue NE, Seattle",6563283,STS Construction Services,(206) 396-7709,Isaac
20th Street,17-0430,"16404 NE 20th Street, Bellevue",17108510BR,Sound Design & Constructio,(760) 917-1019,Jeff
2144 Residence,18-0343,"2144 NW 201st Street, Shoreline",SFR17-0661,"Richmond Homes, LLC",(206) 683-5217,Jeff
2204 14th Avenue South,18-0211,"2204 14th Ave South, Seattle",6475928,,(206) 349-6693,Jeff
22nd St. NE & I St. NE Intersection Improve,18-0195,"22nd St. NE & I St. NE, Auburn",,,,Walter
2328 W. Plymouth Street,17-0912,"2328 W. Plymouth Street, Seattle",6522543,"Smart Build, LLC",(206) 859-3095,Jeff
23rd Avenue Apartments,17-0111,"224 23rd Avenue E, Seattle",6456308,"HyBrid Assembly G.C., LLC",(614) 406-3284,Isaac
2519 NE 82nd Street,18-0464,"2519 NE 82nd St, Seattle",6571738,,,Scott
2525 NE 82nd Street,18-0465,"2525 NE 82nd St, Seattle",6571739,,,Scott
2609 E John Street Coring Drilling/ Integrity,18-0163,"2609 E John St, Seattle",,Insignia Development,(425) 280-7614,Walter
26th Avenue Townhomes - East Lot,17-0908,"111 26th Avenue E, Seattle",6492073,C A James,(206) 948-5423,Isaac
2811 NW Market Street - SIR,18-0167,"2811 NW Market St, Seattle",,,(206) 919-8562,Jeff
2935 198th Avenue SE,18-0406,"2935 198th Avenue SE, Issaquah",BLD2018-01191,"Seismic Northwest, LP",(253) 579-9665,Jeff
29th Avenue House,18-0355,"4880 29th Ave S, Seattle",6557061,"HyBrid Assembly G.C., LLC",(614) 406-3284,Isaac
3021 62nd Avenue SW - Single Family Res,18-0122,"3021 62nd Ave SW, Seattle",6597285,"Hutyler Consulting, LLC",(206) 619-6999,Jeff
3023 62nd Avenue SW - Triplex,18-0004,"3023 62nd Avenue SW, Seattle",6597278,"Hutyler Consulting, LLC",206-619-6999,Jeff
3050 SW Avalon Way (Avalon Ave Micro Ho,17-0235,"3050 SW Avalon Way, Seattle",6327295,"McDowell Northwest, Inc.",(206) 890-8790,Walter
333 Residence,18-0275,"333 25th Avenue E, Seattle",6458069,"Dao Property Development,",(206) 226-2557,Isaac
335 Residence,18-0276,"335 25th Avenue E, Seattle",6458076,"Dao Property Development,",(206) 226-2557,Isaac
